country,happiness_rank,gdp,gdp_rank
Luxembourg,17,"$101,994.09",1
Switzerland,1,"$80,675.31",2
Qatar,28,"$76,576.08",3
Norway,4,"$74,822.11",4
United States,15,"$55,805.20",5
Singapore,24,"$52,887.77",6
Denmark,3,"$52,114.17",7
Ireland,18,"$51,350.74",8
Australia,10,"$50,961.87",9
Iceland,2,"$50,854.58",10
Sweden,8,"$49,866.27",11
United Kingdom,21,"$43,770.69",12
Austria,13,"$43,724.03",13
Netherlands,7,"$43,603.12",14
Canada,5,"$43,331.96",15
Finland,6,"$41,973.99",16
Germany,26,"$40,996.51",17
Belgium,19,"$40,106.63",18
France,29,"$37,675.01",19
New Zealand,9,"$37,044.89",20
United Arab Emirates,20,"$36,060.02",21
Israel,11,"$35,343.34",22
Japan,44,"$32,485.55",23
Italy,47,"$29,866.58",24
Kuwait,38,"$29,363.03",25
Spain,36,"$25,864.72",26
Bahrain,46,"$23,509.98",27
Malta,37,"$22,734.23",28
Cyprus,63,"$22,587.49",29
Saudi Arabia,35,"$20,812.59",30
Slovenia,52,"$20,732.48",31
Portugal,81,"$19,121.59",32
Trinidad and Tobago,40,"$18,085.76",33
Greece,92,"$18,064.29",34
Estonia,67,"$17,288.08",35
Czech Republic,31,"$17,256.92",36
Uruguay,32,"$15,748.19",37
Oman,22,"$15,232.96",38
Lithuania,53,"$14,210.28",39
Latvia,82,"$13,618.57",40
Argentina,30,"$13,588.85",41
Chile,27,"$13,340.91",42
Panama,25,"$13,012.56",43
Poland,57,"$12,495.33",44
Hungary,94,"$12,239.89",45
Croatia,59,"$11,572.91",46
Lebanon,93,"$11,236.79",47
Costa Rica,12,"$10,936.24",48
Kazakhstan,51,"$9,795.63",49
Malaysia,58,"$9,556.77",50
Turkey,70,"$9,437.37",51
Suriname,39,"$9,305.69",52
Mauritius,66,"$9,218.43",53
Russia,61,"$9,054.91",54
Mexico,14,"$9,009.28",55
Romania,79,"$8,906.30",56
Brazil,16,"$8,670.00",57
China,77,"$7,989.72",58
Venezuela,23,"$7,744.75",59
Gabon,129,"$7,735.94",60
Bulgaria,121,"$6,831.66",61
Dominican Republic,89,"$6,755.74",62
Turkmenistan,65,"$6,622.41",63
Montenegro,76,"$6,489.10",64
Colombia,33,"$6,083.51",65
Ecuador,45,"$6,070.95",66
Libya,60,"$6,058.67",67
Botswana,115,"$6,040.96",68
Peru,55,"$6,021.10",69
Belarus,56,"$5,749.12",70
Thailand,34,"$5,742.28",71
Azerbaijan,73,"$5,739.43",72
South Africa,101,"$5,694.57",73
Jordan,75,"$5,513.01",74
Serbia,80,"$5,119.76",75
Jamaica,62,"$4,948.02",76
Iraq,100,"$4,819.49",77
Algeria,64,"$4,318.14",78
Angola,124,"$4,100.32",79
Bosnia and Herzegovina,87,"$4,088.21",80
El Salvador,41,"$4,040.32",81
Paraguay,50,"$4,009.57",82
Albania,86,"$3,995.38",83
Mongolia,90,"$3,951.91",84
Guatemala,42,"$3,929.08",85
Tunisia,97,"$3,922.65",86
Sri Lanka,119,"$3,889.41",87
Georgia,117,"$3,788.62",88
Egypt,122,"$3,740.25",89
Armenia,114,"$3,534.86",90
Indonesia,68,"$3,362.36",91
Swaziland,91,"$3,139.66",92
Morocco,84,"$3,078.59",93
Bolivia,48,"$2,886.23",94
Philippines,83,"$2,858.14",95
Bhutan,72,"$2,843.40",96
Nigeria,71,"$2,742.86",97
Honduras,95,"$2,406.62",98
Sudan,106,"$2,175.40",99
Ukraine,99,"$2,125.43",100
Uzbekistan,43,"$2,120.78",101
Vietnam,69,"$2,088.34",102
Nicaragua,54,"$1,949.23",103
Moldova,49,"$1,804.69",104
Djibouti,113,"$1,788.36",105
India,105,"$1,617.31",106
Pakistan,74,"$1,449.98",107
Kenya,112,"$1,388.45",108
Zambia,78,"$1,350.15",109
Ghana,102,"$1,340.42",110
Yemen,123,"$1,302.94",111
Myanmar,116,"$1,291.96",112
Bangladesh,98,"$1,286.87",113
Mauritania,111,"$1,282.33",114
Cameroon,120,"$1,232.42",115
Cambodia,131,"$1,168.04",116
Zimbabwe,103,"$1,064.35",117
Lesotho,88,"$1,051.61",118
Chad,135,$941.90,119
Tanzania,132,$941.80,120
Tajikistan,96,$922.07,121
Senegal,128,$913.02,122
Haiti,107,$804.56,123
Mali,125,$801.84,124
Benin,140,$780.06,125
Nepal,108,$751.12,126
Comoros,126,$736.35,127
Rwanda,139,$731.51,128
Ethiopia,109,$686.59,129
Sierra Leone,110,$659.44,130
Uganda,127,$620.21,131
Burkina Faso,137,$614.50,132
Afghanistan,138,$599.99,133
Togo,142,$569.44,134
Guinea,136,$542.42,135
Mozambique,85,$534.88,136
Liberia,104,$473.64,137
Niger,130,$405.21,138
Madagascar,133,$401.77,139
Malawi,118,$354.28,140
Central African Republic,134,$334.87,141
Burundi,141,$305.78,142
