country_name,country_code,fertility_rate_2015,life_expectancy_2015,сountry_population_2015
Aruba,ABW,1.801,75.725,104341.0
Afghanistan,AFG,4.802,63.288000000000004,33736494.0
Angola,AGO,5.766,61.24100000000001,27859305.0
Albania,ALB,1.714,78.17399999999999,2880703.0
Andorra,AND,,,78014.0
Arab World,ARB,3.3738396858853,70.99454147250891,398304960.0
United Arab Emirates,ARE,1.765,77.101,9154302.0
Argentina,ARG,2.3080000000000003,76.415,43417765.0
Armenia,ARM,1.6219999999999999,74.445,2916950.0
American Samoa,ASM,,,55537.0
Antigua and Barbuda,ATG,2.063,76.207,99923.0
Australia,AUS,1.8090000000000002,82.4,23850784.0
Austria,AUT,1.49,81.19024390243901,8633169.0
Azerbaijan,AZE,1.94,71.921,9649341.0
Burundi,BDI,5.781000000000001,57.093999999999994,10199270.0
Belgium,BEL,1.7,80.9926829268293,11274196.0
Benin,BEN,5.048,60.638999999999996,10575952.0
Burkina Faso,BFA,5.436,59.927,18110624.0
Bangladesh,BGD,2.133,72.155,161200886.0
Bulgaria,BGR,1.53,74.6146341463415,7177991.0
Bahrain,BHR,2.056,76.76100000000001,1371855.0
"Bahamas, The",BHS,1.778,75.527,386838.0
Bosnia and Herzegovina,BIH,1.345,76.735,3535961.0
Belarus,BLR,1.724,73.6243902439025,9489616.0
Belize,BLZ,2.544,70.192,359288.0
Bermuda,BMU,1.62,81.0121951219512,65250.0
Bolivia,BOL,2.9210000000000003,68.756,10724705.0
Brazil,BRA,1.74,75.28399999999999,205962108.0
Barbados,BRB,1.796,75.755,284217.0
Brunei Darussalam,BRN,1.8840000000000001,77.046,417542.0
Bhutan,BTN,2.086,69.817,787386.0
Botswana,BWA,2.7739999999999996,65.846,2209197.0
Central African Republic,CAF,4.94,51.41,4546100.0
Canada,CAN,1.6,82.1290243902439,35832513.0
Central Europe and the Baltics,CEB,1.4540667793522,76.5910702431929,103257751.0
Switzerland,CHE,1.54,82.89756097560979,8282396.0
Channel Islands,CHI,1.472,80.958,163758.0
Chile,CHL,1.785,79.315,17762681.0
China,CHN,1.617,76.092,1371220000.0
Cote d'Ivoire,CIV,4.976,53.053000000000004,23108472.0
Cameroon,CMR,4.7780000000000005,57.582,22834522.0
"Congo, Dem. Rep.",COD,6.202000000000001,59.205,76196619.0
"Congo, Rep.",COG,4.721,64.112,4995648.0
Colombia,COL,1.874,74.2,48228697.0
Comoros,COM,4.42,63.473,777424.0
Cabo Verde,CPV,2.374,72.59899999999999,532913.0
Costa Rica,CRI,1.8,79.634,4807852.0
Caribbean small states,CSS,2.05081802082267,73.0627324010547,7204948.0
Cuba,CUB,1.72,79.57,11461432.0
Curacao,CUW,1.9,,157980.0
Cayman Islands,CYM,,,59963.0
Cyprus,CYP,1.35,80.344,1160985.0
Czech Republic,CZE,1.57,78.57804878048779,10546059.0
Germany,DEU,1.5,80.64146341463409,81686611.0
Djibouti,DJI,2.9130000000000003,62.26,927414.0
Dominica,DMA,,,73162.0
Denmark,DNK,1.71,80.7024390243902,5683483.0
Dominican Republic,DOM,2.451,73.673,10528394.0
Algeria,DZA,2.839,75.86,39871528.0
East Asia & Pacific (excluding high income),EAP,1.8471816634612501,74.33497356951291,2038410865.0
Early-demographic dividend,EAR,2.56938618641774,69.5169409710616,3127578757.0
East Asia & Pacific,EAS,1.80577842924178,75.2489154300902,2283107673.0
Europe & Central Asia (excluding high income),ECA,1.94637347560575,72.5838060907524,414975737.0
Europe & Central Asia,ECS,1.75455073688552,77.15649506272459,907393322.0
Ecuador,ECU,2.5140000000000002,76.102,16144368.0
"Egypt, Arab Rep.",EGY,3.3110000000000004,71.304,93778172.0
Euro area,EMU,1.55103403953441,81.5596930236432,339486064.0
Eritrea,ERI,4.208,64.63600000000001,
